0,0,0,0
50,1,2,3
100,1,5,7
150,3,8,11
200,4,10,15
250,5,13,19
300,6,16,23
350,7,18,27
400,8,21,31
450,9,24,35
500,10,27,39
550,12,29,43
600,13,32,47
650,14,35,51
700,15,38,55
750,16,40,59
800,17,43,63
850,18,46,67
900,19,49,71
950,21,51,74
1000,22,54,78
1050,23,57,83
1100,24,60,87
1150,25,63,91
1200,27,66,95
1250,28,68,99
1300,29,71,103
1350,30,74,107
1400,31,77,111
1450,33,80,115
1500,34,83,119
1550,35,86,124
1600,36,89,128
1650,38,91,132
1700,39,94,136
1750,40,97,140
1800,41,100,144
1850,42,103,148
1900,44,106,152
1950,45,109,156
2000,46,112,160
2050,47,114,165
2100,49,117,169
2150,50,120,173
2200,51,123,177
2250,52,126,181
2300,53,129,185
2350,55,132,189
2400,56,135,193
2450,57,138,197
2500,58,140,201
2550,60,143,206
2600,61,146,210
2650,62,149,214
2700,63,152,218
2750,64,155,222
2800,66,158,226
2850,67,161,230
2900,68,163,234
2950,69,166,238
3000,70,169,243
3050,72,172,247
3100,73,175,251
3150,74,178,255
3200,75,181,259
3250,77,184,263
3300,78,187,267
3350,79,189,271
3400,80,192,275
3450,81,195,279
3500,83,198,284
3550,84,201,288
3600,85,204,292
3650,86,207,296
3700,88,210,300
3750,89,212,304
3800,90,215,308
3850,91,218,312
3900,92,221,316
3950,94,224,320
4000,95,227,325
4050,96,230,329
4100,97,233,333
4150,99,235,337
4200,100,238,341
4250,101,241,345
4300,102,244,349
4350,103,247,353
4400,105,250,357
4450,106,253,361
4500,107,256,366
4550,108,259,370
4600,110,261,374
4650,111,264,378
4700,112,267,382
4750,113,270,386
4800,114,273,390
4850,116,276,394
4900,117,279,398
4950,118,282,402
5000,119,284,407
5050,121,287,411
5100,122,290,415
5150,123,293,419
5200,124,296,423
5250,125,299,427
5300,127,302,431
5350,128,305,435
5400,129,308,439
5450,130,310,443
5500,132,313,448
5550,133,316,452
5600,134,319,456
5650,135,322,460
5700,136,325,464
5750,138,328,468
5800,139,331,472
5850,140,333,476
5900,141,336,480
5950,143,339,485
6000,144,342,489
6050,145,345,493
6100,146,348,497
6150,147,351,501
6200,149,354,505
6250,150,356,509
6300,151,359,513
6350,152,362,517
6400,154,365,521
6450,155,368,526
6500,156,371,530
6550,157,374,534
6600,158,377,538
6650,160,380,542
6700,161,382,546
6750,162,385,550
6800,163,388,554
6850,164,391,558
6900,166,394,562
6950,167,397,567
7000,168,400,571
7050,169,403,575
7100,171,405,579
7150,172,408,583
7200,173,411,587
7250,174,414,591
7300,175,417,595
7350,177,420,599
7400,178,423,603
7450,179,426,608
7500,180,429,612
7550,182,431,616
7600,183,434,620
7650,184,437,624
7700,185,440,628
7750,186,443,632
7800,188,446,636
7850,189,449,640
7900,190,452,644
7950,191,454,649
8000,193,457,653
8050,194,460,657
8100,195,463,661
8150,196,466,665
8200,197,469,669
8250,199,472,673
8300,200,475,677
8350,201,477,681
8400,202,480,685
8450,204,483,690
8500,205,486,694
8550,206,489,698
8600,207,492,702
8650,208,495,706
8700,210,498,710
8750,211,501,714
8800,212,503,718
8850,213,506,722
8900,215,509,726
8950,216,512,731
9000,217,515,735
9050,218,518,739
9100,219,521,743
9150,221,524,747
9200,222,526,751
9250,223,529,755
9300,224,532,759
9350,226,535,763
9400,227,538,768
9450,228,541,772
9500,229,544,776
9550,230,547,780
9600,232,550,784
9650,233,552,788
9700,234,555,792
9750,235,558,796
9800,237,561,800
9850,238,564,804
9900,239,567,809
9950,240,570,813
10000,241,573,817
10050,243,576,821
10100,244,579,825
10150,245,582,829
10200,247,585,834
10250,248,588,838
10300,249,591,842
10350,251,594,846
10400,252,597,851
10450,253,600,855
10500,255,603,859
10550,256,606,863
10600,257,609,868
10650,259,612,872
10700,260,615,876
10750,261,618,880
10800,262,621,885
10850,264,624,889
10900,265,627,893
10950,266,630,897
11000,268,633,902
11050,269,636,906
11100,270,639,910
11150,272,642,914
11200,273,645,919
11250,274,648,923
11300,276,651,927
11350,277,654,931
11400,278,657,936
11450,280,660,940
11500,281,663,944
11550,282,666,948
11600,284,669,953
11650,285,672,957
11700,286,675,961
11750,288,679,965
11800,289,682,970
11850,290,685,974
11900,291,688,978
11950,293,691,982
12000,294,694,987
12050,295,697,991
12100,297,700,995
12150,298,703,999
12200,299,706,1004
12250,301,709,1008
12300,302,712,1012
12350,303,715,1016
12400,305,718,1021
12450,306,721,1025
12500,307,724,1029
12550,309,727,1033
12600,310,730,1038
12650,311,733,1042
12700,313,736,1046
12750,314,739,1050
12800,315,742,1055
12850,317,745,1059
12900,318,748,1063
12950,319,751,1067
13000,321,754,1072
13050,322,757,1076
13100,323,760,1080
13150,324,763,1084
13200,326,766,1089
13250,327,769,1093
13300,328,772,1097
13350,330,775,1101
13400,331,778,1106
13450,332,781,1110
13500,334,784,1114
13550,335,788,1118
13600,336,791,1123
13650,338,794,1127
13700,339,797,1131
13750,340,800,1135
13800,342,803,1140
13850,343,806,1144
13900,344,809,1148
13950,346,812,1152
14000,347,815,1157
14050,348,818,1161
14100,350,821,1165
14150,351,824,1169
14200,352,827,1174
14250,353,830,1178
14300,355,833,1182
14350,356,836,1186
14400,357,839,1191
14450,359,842,1195
14500,360,845,1199
14550,361,848,1203
14600,363,851,1208
14650,364,854,1212
14700,365,857,1216
14750,367,860,1220
14800,368,863,1225
14850,369,866,1229
14900,371,869,1233
14950,372,872,1237
15000,373,875,1242
